Wall time,Step,Value1,Value2
1688443438,0,0.574294686,0.420566559
1688443473,1,0.190041095,0.366235524
1688443507,2,0.090684645,0.35974136
1688443540,3,0.117758527,0.617861986
1688443574,4,0.077621385,0.606708527
1688443607,5,0.052902691,0.768115461
1688443640,6,0.031884383,0.939951241
1688443674,7,0.07272891,0.837561667
1688443707,8,0.0464404,0.849816382
1688443740,9,0.005837544,0.87559396
1688443774,10,0.033973075,0.806691051
1688443808,11,0.030918194,0.816683471
1688443841,12,0.006039167,0.588399947
1688443874,13,0.027529009,0.827975988
1688443908,14,0.022083879,1.205155253
1688443941,15,0.013823099,1.094892502
1688443974,16,0.041140813,1.224666715
1688444008,17,0.070520267,0.820885956
1688444041,18,0.024505191,0.707530975
1688444075,19,0.019031569,0.692649662
1688444109,20,0.029909667,0.89914149
1688444142,21,0.055409387,0.563342154
1688444175,22,0.007376199,1.275775909
1688444209,23,0.013919235,1.068678379
1688444242,24,0.047630627,0.7579723
1688444276,25,0.009332445,0.97313273
1688444309,26,0.002483382,0.875772774
1688444342,27,0.005069987,1.099731088
1688444376,28,0.006701092,1.148575306
1688444409,29,0.060471326,0.84867841
1688444444,30,0.065487161,0.558589816
1688444477,31,0.018668868,0.790355325
1688444511,32,0.032693438,0.616109073
1688444544,33,0.013985051,0.636404514
1688444578,34,0.053172462,1.108021021
1688444611,35,0.030448025,1.06234467
1688444644,36,0.069505602,0.743725181
1688444678,37,0.024512276,0.894288421
1688444711,38,0.01192207,0.833273292
1688444744,39,0.001790761,0.744576693
